LOCAL,TEMP
20190604205814,25.206
20190604205822,25.206
20190604205829,25.206
20190604205837,26.157
20190604205844,24.255
20190604205851,26.157
20190604205859,25.682
20190604205906,26.157
20190604205914,24.255
20190604205921,24.73
20190604205929,25.682
20190604205936,26.157
20190604205944,25.682
20190604205951,26.633
20190604205959,24.73
20190604210006,26.633
20190604210013,26.633
20190604210021,24.73
20190604210028,24.73
20190604210036,26.157
20190604210043,26.157
20190604210051,26.157
20190604210058,24.73
20190604210106,26.157
20190604210113,26.157
20190604210120,26.157
20190604210128,26.633
20190604210135,27.108
20190604210143,24.73
20190604210150,25.682
20190604210158,26.157
20190604210205,27.108
20190604210212,26.157
20190604210220,25.682
20190604210227,25.682
20190604210235,27.108
20190604210242,26.633
20190604210250,26.157
20190604210257,27.108
20190604210305,26.633
20190604210312,26.157
20190604210320,26.157
20190604210327,27.584
20190604210334,26.633
20190604210342,26.633
20190604210349,26.157
20190604210357,27.108
20190604210404,26.633
20190604210412,27.108
20190604210419,26.633
20190604210427,28.06
20190604210434,26.633
20190604210441,27.108
20190604210449,28.06
20190604210456,26.157
20190604210504,27.584
20190604210511,26.633
20190604210519,27.584
20190604210526,26.633
20190604210534,26.157
20190604210541,26.633
20190604210548,26.633
20190604210556,26.633
20190604210604,27.584
20190604210611,27.108
20190604210618,27.108
20190604210626,27.108
20190604210634,28.06
20190604210641,26.157
20190604210649,27.108
20190604210656,28.06
20190604210703,27.108
20190604210711,26.633
20190604210718,27.584
20190604210726,26.157
20190604210733,27.584
20190604210741,28.535
20190604210748,28.06
20190604210756,27.584
20190604210803,28.06
20190604210810,29.011
20190604210818,28.06
20190604210825,28.06
20190604210833,27.108
20190604210840,28.535
20190604210848,27.584
20190604210855,27.584
20190604210902,27.584
20190604210910,26.157
20190604210917,27.108
20190604210925,26.633
20190604210932,26.157
20190604210940,28.535
20190604210947,29.011
20190604210954,27.108
20190604211002,27.584
20190604211009,27.584
20190604211017,28.06
20190604211024,28.535
20190604211032,27.584
20190604211039,28.06
20190604211047,28.06
20190604211054,25.682
20190604211101,27.584
20190604211109,25.682
20190604211116,27.108
20190604211124,27.108
20190604211131,27.584
20190604211139,29.011
20190604211146,27.584
20190604211153,27.584
20190604211201,27.108
20190604211208,26.633
20190604211216,27.108
20190604211223,28.06
20190604211231,29.011
20190604211238,28.06
20190604211246,28.06
20190604211253,27.584
20190604211300,26.633
20190604211308,27.584
20190604211315,28.06
20190604211323,29.962
20190604211330,28.06
20190604211338,28.06
20190604211345,27.584
20190604211353,28.535
20190604211400,29.011
20190604211407,27.584
20190604211415,27.584
20190604211422,28.535
20190604211430,28.06
20190604211437,28.06
20190604211445,28.06
20190604211453,28.06
20190604211500,29.011
20190604211508,28.535
20190604211515,28.06
20190604211523,28.06
20190604211531,28.06
20190604211538,26.157
20190604211545,27.584
20190604211553,28.06
20190604211600,28.535
20190604211608,28.06
20190604211615,28.06
20190604211623,29.011
20190604211630,28.06
20190604211637,28.06
20190604211645,28.06
20190604211652,28.535
20190604211700,28.06
20190604211707,29.011
20190604211715,29.011
20190604211722,28.535
20190604211730,29.011
20190604211737,28.535
20190604211744,29.011
20190604211753,27.584
20190604211800,27.584
20190604211807,27.584
20190604211815,28.535
20190604211822,27.584
20190604211830,29.011
20190604211837,28.06
20190604211845,27.584
20190604211852,29.011
20190604211900,28.06
20190604211907,29.962
20190604211914,28.06
20190604211922,29.962
20190604211929,29.962
20190604211937,28.06
20190604211944,29.962
20190604211952,29.011
20190604211959,29.011
20190604212007,29.011
20190604212014,28.535
20190604212022,28.535
20190604212030,29.011
20190604212037,28.06
20190604212044,28.06
20190604212052,29.486
20190604212059,28.535
20190604212107,29.011
20190604212114,28.06
20190604212122,29.486
